id_muestra,longitud,latitud,elevacion_m,litologia,sio2_pct,fe_pct,densidad_g_cm3,porosidad_pct,fracturas_n,alteracion
G001,-75.508819,6.272964,1885.6,Volcánica,56.91,3.65,2.602,31.9,12,Media
G002,-75.506726,6.26727,1954.0,Volcánica,55.29,4.09,2.69,29.2,3,Media
G003,-75.636825,6.314872,2518.5,Metasedimentaria,60.33,3.46,2.712,20.6,11,Media
G004,-75.501436,6.225417,1633.9,Intrusiva,71.99,1.52,2.727,24.5,3,Baja
G005,-75.544028,6.243859,1583.7,Depósito_cuaternario,61.32,3.78,2.724,26.3,3,Media
G006,-75.554628,6.302842,1952.0,Volcánica,55.33,3.4,2.712,32.9,5,Media
G007,-75.571134,6.172941,1496.0,Depósito_cuaternario,61.83,4.65,2.706,24.0,7,Alta
G008,-75.589312,6.23912,1911.2,Depósito_cuaternario,59.1,4.92,3.35,28.0,4,Alta
G009,-75.661654,6.204769,1714.8,Metasedimentaria,63.32,3.38,2.668,29.1,12,Media
G010,-75.559723,6.150059,1426.9,Depósito_cuaternario,58.04,3.71,2.614,24.8,3,Media
G011,-75.488285,6.242052,1720.7,Intrusiva,69.42,3.22,2.722,29.1,4,Baja
G012,-75.505879,6.271982,1816.7,Volcánica,58.45,3.12,2.688,32.5,10,Media
G013,-75.491821,6.328734,2171.2,Volcánica,60.42,3.98,2.706,30.7,7,Media
G014,-75.579933,6.331225,2336.5,Volcánica,57.48,3.54,2.582,28.3,9,Media
G015,-75.561337,6.221937,1724.3,Depósito_cuaternario,58.67,3.69,2.581,31.2,5,Media
G016,-75.65134,6.332688,2467.3,Metasedimentaria,59.21,3.62,2.712,28.3,7,Media
G017,-75.489286,6.187098,1490.5,Intrusiva,67.77,3.39,2.755,30.7,1,Baja
G018,-75.665589,6.22385,1841.6,Metasedimentaria,57.16,4.3,2.622,26.4,8,Alta
G019,-75.630828,6.280788,2336.7,Metasedimentaria,61.76,3.75,2.738,30.1,11,Media
G020,-75.554201,6.244127,1761.3,Depósito_cuaternario,61.05,3.56,2.741,28.7,6,Media
G021,-75.60685,6.270141,2188.6,Metasedimentaria,61.61,4.42,2.642,29.1,12,Alta
G022,-75.573055,6.298105,2154.6,Volcánica,56.29,5.09,2.633,32.6,4,Alta
G023,-75.606067,6.247035,2091.7,Metasedimentaria,60.63,2.93,2.62,34.1,8,Media
G024,-75.655806,6.156844,1599.3,Metasedimentaria,64.64,3.1,2.686,27.2,8,Media
G025,-75.609678,6.162538,1664.5,Metasedimentaria,64.82,1.97,2.652,31.4,11,Media
G026,-75.590417,6.310137,2333.5,Volcánica,55.55,5.3,2.61,31.7,5,Alta
G027,-75.587403,6.317174,2396.4,Volcánica,54.86,4.16,2.734,28.9,7,Media
G028,-75.536728,6.207806,1465.1,Depósito_cuaternario,55.82,4.52,2.662,31.8,0,Alta
G029,-75.578214,6.277531,1942.8,Volcánica,57.48,3.82,2.504,31.5,3,Media
G030,-75.527261,6.207549,1521.2,Intrusiva,71.09,2.2,2.719,30.5,1,Baja
G031,-75.625404,6.303906,2415.0,Metasedimentaria,53.29,5.49,2.768,24.2,7,Alta
G032,-75.543156,6.162819,1342.3,Depósito_cuaternario,59.67,3.18,2.678,24.3,4,Media
G033,-75.506316,6.302365,1991.3,Volcánica,58.44,5.23,2.741,31.9,6,Alta
G034,-75.601637,6.260649,2158.9,Metasedimentaria,62.8,4.15,2.565,28.9,14,Media
G035,-75.566437,6.206383,1631.5,Depósito_cuaternario,58.07,4.34,2.697,34.6,4,Alta
G036,-75.481831,6.20924,1726.3,Intrusiva,70.53,2.48,2.582,,7,Baja
G037,-75.555444,6.33631,2076.1,Volcánica,49.21,4.33,2.716,34.7,4,Alta
G038,-75.573013,6.259985,2061.8,Volcánica,53.0,4.41,2.656,26.8,5,Alta
G039,-75.593993,6.329886,2277.3,Volcánica,55.6,5.02,2.714,31.8,3,Alta
G040,-75.483649,6.196679,1606.6,Intrusiva,69.31,1.98,2.718,21.6,6,Baja
G041,-75.492095,6.263537,1742.2,Volcánica,54.42,5.2,2.736,27.4,4,Alta
G042,-75.658982,6.310575,2304.1,Metasedimentaria,58.25,3.56,2.743,32.1,12,Media
G043,-75.512079,6.159583,1401.7,Intrusiva,70.68,2.6,2.717,32.5,5,Baja
G044,-75.541417,6.224018,1613.0,Depósito_cuaternario,60.43,4.76,2.558,35.0,2,Alta
G045,-75.650139,6.283441,2254.4,Metasedimentaria,57.7,3.33,2.727,26.6,17,Media
G046,-75.503885,6.207857,1594.8,Intrusiva,70.43,3.18,2.63,25.5,4,Baja
G047,-75.496841,6.187755,1600.8,Intrusiva,67.17,2.24,2.67,29.4,3,Baja
G048,-75.534074,6.162596,1359.3,Intrusiva,73.03,1.98,2.579,27.8,2,Baja
G049,-75.628943,6.212798,2130.0,Metasedimentaria,65.19,2.8,2.551,30.7,18,Media
G050,-75.574017,6.154236,1397.5,Depósito_cuaternario,56.37,5.11,2.675,26.4,3,Alta
G051,-75.65169,6.166716,1619.9,Metasedimentaria,58.61,3.86,2.729,29.6,8,Media
G052,-75.55581,6.334048,2181.5,Volcánica,56.55,4.3,2.774,27.1,9,Alta
G053,-75.669171,6.331355,2369.5,Metasedimentaria,56.52,4.17,2.806,27.7,8,Media
G054,-75.492034,6.266601,2092.3,Volcánica,57.56,3.38,2.629,29.0,4,Media
G055,-75.481246,6.319962,2293.7,Volcánica,57.24,4.43,2.76,29.2,11,Alta
G056,-75.679645,6.293083,2054.7,Metasedimentaria,,4.06,2.751,25.3,10,Media
G057,-75.654818,6.256036,2134.1,Metasedimentaria,60.52,2.82,2.608,28.3,7,Media
G058,-75.537584,6.258219,1802.6,Volcánica,55.51,4.15,2.712,24.7,4,Media
G059,-75.485265,6.330569,2193.5,Volcánica,59.07,3.97,2.743,,10,Media
G060,-75.627018,6.232482,2003.2,Metasedimentaria,59.99,5.3,2.593,30.1,7,Alta
G061,-75.574826,6.162646,1391.4,Depósito_cuaternario,55.94,5.45,2.695,32.3,5,Alta
G062,-75.486236,6.218006,1810.7,Intrusiva,67.97,3.21,2.669,25.8,4,Baja
G063,-75.639564,6.338828,2726.6,Metasedimentaria,57.41,6.1,2.761,29.1,11,Alta
G064,-75.514951,6.251534,1688.2,Intrusiva,71.27,3.76,2.666,32.7,8,Baja
G065,-75.546672,6.266798,1727.8,Volcánica,54.67,3.83,2.594,27.9,4,Media
G066,-75.557505,6.201441,1636.4,Depósito_cuaternario,60.76,4.18,2.753,26.0,6,Media
G067,-75.621238,6.317082,2428.9,Metasedimentaria,63.14,2.85,2.606,32.7,2,Media
