id_observacion,especie,longitud,latitud,periodo,individuos
O1001,Tangara_azul,-75.630187,6.205227,tarde,5
O1002,Tangara_azul,-75.658269,6.219121,mañana,4
O1003,Tangara_azul,-75.636109,6.154536,mañana,3
O1004,Tangara_azul,-75.595823,6.197348,tarde,1
O1005,Tangara_azul,-75.579434,6.219225,tarde,2
O1006,Tangara_azul,-75.605765,6.204981,tarde,5
O1007,Tangara_azul,-75.609364,6.270094,tarde,4
O1008,Tangara_azul,-75.604987,6.219941,tarde,7
O1009,Tangara_azul,-75.598088,6.241689,mañana,7
O1010,Tangara_azul,-75.618234,6.210127,tarde,4
O1011,Tangara_azul,-75.616968,6.224628,tarde,6
O1012,Tangara_azul,-75.583769,6.216025,mañana,2
O1013,Tangara_azul,-75.642726,6.234169,mañana,5
O1014,Tangara_azul,-75.579219,6.228752,tarde,2
O1015,Tangara_azul,-75.637482,6.213546,tarde,6
O1016,Tangara_azul,-75.590838,6.259731,tarde,5
O1017,Tangara_azul,-75.643557,6.251679,mañana,7
O1018,Tangara_azul,-75.60868,6.22578,tarde,1
O1019,Tangara_azul,-75.60334,6.25083,tarde,4
O1020,Tangara_azul,-75.626024,6.226922,mañana,3
O1021,Tangara_azul,-75.599679,6.234829,mañana,6
O1022,Tangara_azul,-75.62227,6.279385,mañana,2
O1023,Tangara_azul,-75.643351,6.235764,tarde,6
O1024,Tangara_azul,-75.551988,6.241919,tarde,3
O1025,Tangara_azul,-75.584453,6.244667,mañana,7
O1026,Tangara_azul,-75.604854,6.265828,tarde,5
O1027,Tangara_azul,-75.64286,6.241032,mañana,4
O1028,Tangara_azul,-75.653173,6.256672,tarde,1
O1029,Tangara_azul,-75.615729,6.236716,mañana,1
O1030,Tangara_azul,-75.626972,6.236424,tarde,4
O1031,Tangara_azul,-75.603647,6.194215,tarde,2
O1032,Tangara_azul,-75.596336,6.266412,mañana,2
O1033,Tangara_azul,-75.635565,6.251609,mañana,7
O1034,Tangara_azul,-75.581154,6.227298,tarde,4
O1035,Tangara_azul,-75.633265,6.250281,mañana,2
O1036,Tangara_azul,-75.626466,6.221884,tarde,6
O1037,Tangara_azul,-75.557208,6.216415,mañana,7
O1038,Tangara_azul,-75.589746,6.249195,tarde,4
O1039,Tangara_azul,-75.612267,6.202735,tarde,5
O1040,Tangara_azul,-75.602348,6.249127,tarde,3
O1041,Tangara_azul,-75.582132,6.243991,mañana,7
O1042,Tangara_azul,-75.580332,6.220698,mañana,1
O1043,Tangara_azul,-75.588661,6.23336,tarde,5
O1044,Tangara_azul,-75.619815,6.239664,tarde,2
O1045,Tangara_azul,-75.576091,6.266504,tarde,5
O1046,Tangara_azul,-75.605663,6.175208,tarde,4
O1047,Tangara_azul,-75.61808,6.262256,tarde,6
O1048,Tangara_azul,-75.58002,6.240738,tarde,4
O1049,Tangara_azul,-75.629806,6.261637,tarde,2
O1050,Tangara_azul,-75.628088,6.22804,mañana,1
O1051,Tangara_azul,-75.590942,6.237647,tarde,2
O1052,Tangara_azul,-75.607282,6.215439,mañana,5
O1053,Tangara_azul,-75.594722,6.232646,tarde,6
O1054,Tangara_azul,-75.612766,6.232747,tarde,3
O1055,Tangara_azul,-75.606859,6.193057,tarde,1
O2001,Rana_de_cristal,-75.585676,6.272663,tarde,3
O2002,Rana_de_cristal,-75.55763,6.269393,tarde,4
O2003,Rana_de_cristal,-75.591126,6.279246,tarde,2
O2004,Rana_de_cristal,-75.53778,6.308894,mañana,7
O2005,Rana_de_cristal,-75.534722,6.277641,tarde,6
O2006,Rana_de_cristal,-75.553765,6.244598,mañana,5
O2007,Rana_de_cristal,-75.559602,6.247462,mañana,2
O2008,Rana_de_cristal,-75.556434,6.241245,tarde,7
O2009,Rana_de_cristal,-75.588249,6.23979,mañana,2
O2010,Rana_de_cristal,-75.552357,6.279548,tarde,6
O2011,Rana_de_cristal,-75.613554,6.2453,mañana,4
O2012,Rana_de_cristal,-75.525288,6.274359,tarde,2
O2013,Rana_de_cristal,-75.549891,6.30011,mañana,3
O2014,Rana_de_cristal,-75.579684,6.238064,tarde,3
O2015,Rana_de_cristal,-75.570235,6.259307,tarde,2
O2016,Rana_de_cristal,-75.623721,6.270467,tarde,5
O2017,Rana_de_cristal,-75.564375,6.302745,mañana,5
O2018,Rana_de_cristal,-75.522435,6.236112,tarde,2
O2019,Rana_de_cristal,-75.536338,6.26524,tarde,4
O2020,Rana_de_cristal,-75.580778,6.26315,mañana,1
O2021,Rana_de_cristal,-75.585343,6.252084,mañana,3
O2022,Rana_de_cristal,-75.571521,6.254238,tarde,1
O2023,Rana_de_cristal,-75.549383,6.243759,tarde,1
O2024,Rana_de_cristal,-75.546728,6.258834,mañana,6
O2025,Rana_de_cristal,-75.617015,6.281625,tarde,2
O2026,Rana_de_cristal,-75.533049,6.254435,tarde,2
