id_parcela,longitud,latitud,elevacion_m,habitat,precipitacion_mm_anual,cobertura_dosel_pct,ph_suelo,riqueza_especies,abundancia_total
B001,-75.505271,6.296955,2277.5,Bosque_altoandino,1925.5,24.9,6.0,12.0,37
B002,-75.611232,6.28016,1938.0,Bosque_altoandino,2406.7,52.2,6.17,18.0,48
B003,-75.608946,6.173685,1280.2,Bosque_humedo,2216.0,52.6,6.12,12.0,55
B004,-75.484546,6.334376,2436.5,Bosque_altoandino,1653.5,17.0,6.45,5.0,28
B005,-75.554267,6.197252,1457.6,Bosque_humedo,2220.2,60.1,6.22,17.0,69
B006,-75.559172,6.330432,2201.5,Bosque_altoandino,2056.5,43.3,6.54,17.0,51
B007,-75.53098,6.265877,2022.6,Mosaico_agroforestal,2268.7,54.6,6.14,12.0,36
B008,-75.513531,6.269531,2029.1,Mosaico_agroforestal,2019.2,57.6,6.1,20.0,44
B009,-75.597032,6.333646,2082.9,Bosque_altoandino,1952.5,19.2,,8.0,55
B010,-75.590522,6.248851,1636.5,Bosque_humedo,2382.2,54.9,6.42,17.0,11
B011,-75.616986,6.332231,2251.1,Bosque_altoandino,2071.6,,6.14,13.0,54
B012,-75.675127,6.252696,2095.4,Bosque_secundario,2526.9,42.9,6.24,11.0,64
B013,-75.488956,6.161815,1669.7,Mosaico_agroforestal,1600.0,10.1,6.04,4.0,310
B014,-75.581984,6.323349,2133.0,Bosque_altoandino,2147.7,52.2,6.66,15.0,52
B015,-75.578961,6.157401,1255.1,Bosque_humedo,2100.6,59.2,6.5,12.0,58
B016,-75.612505,6.330678,2166.5,Bosque_altoandino,2214.7,33.7,6.34,13.0,46
B017,-75.65107,6.244057,2012.6,Bosque_secundario,2617.2,53.6,5.73,20.0,100
B018,-75.560323,6.208213,1544.8,Bosque_humedo,1988.8,40.8,6.52,11.0,41
B019,-75.544638,6.291042,2002.5,Bosque_altoandino,1973.8,46.4,5.42,17.0,59
B020,-75.656066,6.234283,1888.4,Bosque_secundario,2892.8,57.1,6.59,21.0,61
B021,-75.486261,6.159825,1604.8,Mosaico_agroforestal,1590.8,42.1,6.06,,21
B022,-75.580145,6.223068,1492.0,Bosque_humedo,2321.2,59.1,6.26,19.0,76
B023,-75.588321,6.291001,1993.0,Bosque_altoandino,2283.3,46.1,,20.0,70
B024,-75.480813,6.27238,2177.8,Mosaico_agroforestal,1873.9,31.5,6.82,14.0,48
B025,-75.662218,6.156023,1633.8,Bosque_secundario,2304.7,50.0,6.26,18.0,85
B026,-75.642076,6.158264,1435.1,Bosque_secundario,2234.6,56.7,5.82,16.0,31
B027,-75.556824,6.261198,1858.5,Bosque_humedo,2088.5,33.8,7.2,13.0,74
B028,-75.664342,6.331746,2564.0,Bosque_altoandino,2492.1,42.7,6.36,20.0,45
